vix_threshold,sma_buffer_pct,rsi_gate,cooldown_days,vol_gate,final_balance,total_return_pct,max_drawdown_pct,total_trades,buy_and_hold_pct,win_rate_pct,avg_win,avg_loss,win_loss_ratio,sharpe_ratio,max_consec_losses,avg_hold_days
28,0.96,45,5,1.2,211263,111.263,29.2107,29,187.856,27.5862,22702,3350.15,6.77643,0.460032,5,92.3448
28,0.96,45,10,0,227375,127.375,32.6817,40,187.856,30,18561.2,3405.7,5.45006,0.460639,7,77.825
28,0.96,45,10,0.8,206507,106.507,31.3939,38,187.856,23.6842,22396.3,3277.93,6.83246,0.417994,7,80.5526
28,0.96,45,10,1,202190,102.19,26.1707,36,187.856,25,22052.9,3566.15,6.18395,0.422059,7,79.7778
28,0.96,45,10,1.2,204999,104.999,24.4997,28,187.856,28.5714,21922.3,3518.97,6.22977,0.45016,5,93.6429
28,0.96,50,0,0,226871,126.871,27.4066,44,187.856,27.2727,20613.5,3765.33,5.47454,0.454518,6,71.9318
28,0.96,50,0,0.8,209645,109.645,29.1107,42,187.856,23.8095,21873.5,3409.06,6.41629,0.422643,5,73.881
28,0.96,50,0,1,199572,99.5718,27.5953,37,187.856,24.3243,21747.7,3434.2,6.33269,0.414923,5,77.5946
28,0.96,50,0,1.2,194620,94.6197,25.7058,30,187.856,26.6667,21359.7,3466.27,6.16216,0.421128,5,87.4667
28,0.96,50,3,0,230560,130.56,26.2339,43,187.856,27.907,20921.7,3887.11,5.38233,0.462509,6,73.5814
28,0.96,50,3,0.8,213043,113.043,27.9648,41,187.856,24.3902,22198.6,3514.3,6.31665,0.43077,5,75.6585
28,0.96,50,3,1,202829,102.829,26.4277,36,187.856,25,22079.4,3551.31,6.21724,0.423568,5,79.7222
28,0.96,50,3,1.2,197784,97.7836,24.5043,29,187.856,27.5862,21681.4,3603.23,6.01722,0.430312,5,90.4483
28,0.96,50,5,0,244693,144.693,26.538,41,187.856,29.2683,21001,3700.67,5.67492,0.492341,6,76.878
28,0.96,50,5,0.8,219064,119.064,29.2609,39,187.856,25.641,21641.7,3357,6.44674,0.445859,5,79.1026
28,0.96,50,5,1,206775,106.775,26.4277,35,187.856,25.7143,21994.6,3506.76,6.27205,0.435666,5,81.6857
28,0.96,50,5,1.2,197784,97.7836,24.5043,29,187.856,27.5862,21681.4,3603.23,6.01722,0.430312,5,90.4483
28,0.96,50,10,0,222984,122.984,32.5666,40,187.856,27.5,19911.9,3311.96,6.01213,0.453912,7,77.05
28,0.96,50,10,0.8,204746,104.746,29.6486,37,187.856,24.3243,22022.8,3337.82,6.59795,0.417303,6,81.7838
28,0.96,50,10,1,206317,106.317,26.5916,33,187.856,27.2727,21330.6,3569.1,5.97647,0.43866,5,85.5455
28,0.96,50,10,1.2,196981,96.9812,26.8237,27,187.856,25.9259,23885,3510.7,6.80349,0.436473,7,94.5185
30,0.98,0,0,0,205267,105.267,28.1038,50,187.856,26,17624.1,3347.21,5.26531,0.389658,7,65.66
30,0.98,0,0,0.8,202855,102.855,27.5433,48,187.856,29.1667,15309.5,3278.78,4.66927,0.388687,5,67.125
30,0.98,0,0,1,244086,144.086,21.8843,36,187.856,36.1111,17624.9,3697.3,4.76697,0.482147,5,87.5
30,0.98,0,0,1.2,210680,110.68,30.2654,32,187.856,37.5,14616.8,3236.12,4.51678,0.426235,5,91.9688
30,0.98,0,3,0,206872,106.872,27.955,49,187.856,26.5306,17225.3,3251.56,5.29753,0.393772,7,66.8776
30,0.98,0,3,0.8,205266,105.266,26.398,47,187.856,29.7872,15035.9,3189,4.71493,0.394748,5,68.383
30,0.98,0,3,1,241448,141.448,20.6492,36,187.856,36.1111,17358.2,3661.2,4.74111,0.477627,5,87.3056
30,0.98,0,3,1.2,199382,99.3821,31.1609,31,187.856,38.7097,13380.9,3220.48,4.15495,0.40052,5,94.3871
30,0.98,0,5,0,220765,120.765,27.1506,45,187.856,31.1111,16013.6,3336.27,4.79983,0.426836,5,72.2444
30,0.98,0,5,0.8,224806,124.806,24.0809,42,187.856,33.3333,15324.8,3205.04,4.78146,0.440061,4,76
30,0.98,0,5,1,253175,153.175,21.1951,33,187.856,39.3939,17253.5,3556.04,4.85189,0.501438,4,94.9091
30,0.98,0,5,1.2,221225,121.225,27.6348,29,187.856,41.3793,14506.8,3109.19,4.66579,0.45467,6,99.5517
